link_id,source_book,source_passage,theme_tag,target_book,target_passage,link_type,rationale
gen-xlink-0001,Genesis,Gen 1:1–5,creation,John,John 1:1–5,echo,"Both open with creation light and God’s word bringing order"
gen-xlink-0002,Genesis,Gen 1:26–28,image_of_god,Psalm,Psa 8,echo,"Psalm 8 reflects humanity’s intended dignity and stewardship"
gen-xlink-0003,Genesis,Gen 1–2,creation,Colossians,Col 1:15–17,doctrine,"Creation is framed as held together under God’s sovereign ordering"
gen-xlink-0004,Genesis,Gen 2:1–3,creation,Hebrews,Heb 4:4–11,doctrine,"Rest becomes a theological lane for God’s completed work and invitation"
gen-xlink-0005,Genesis,Gen 2:16–17,fall,Romans,Rom 5:12–19,doctrine,"Disobedience and its consequences become a doctrine lane for sin’s spread"
gen-xlink-0006,Genesis,Gen 3:15,seed_promise,Romans,Rom 16:20,doctrine,"Ultimate defeat of evil is framed as God’s peace overcoming the adversary"
gen-xlink-0007,Genesis,Gen 3:23–24,exile_scattering,Revelation,Rev 22:1–5,contrast,"Exile from Eden contrasts with restored access to God’s presence"
gen-xlink-0008,Genesis,Gen 4:3–7,fall,James,Jas 4:1–2,doctrine,"Desire, resentment, and conflict echo Cain-pattern dynamics"
gen-xlink-0009,Genesis,Gen 4:8–12,fall,1 John,1 Jn 3:11–12,doctrine,"Cain becomes a moral/theological warning pattern"
gen-xlink-0010,Genesis,Gen 6:5–8,judgment_mercy,1 Peter,1 Pet 3:20–22,echo,"Flood narrative becomes a reference point for judgment and salvation themes"
gen-xlink-0011,Genesis,Gen 8:20–22,judgment_mercy,Jeremiah,Jer 33:20–26,echo,"Covenant stability motifs connect to God’s faithfulness in history"
gen-xlink-0012,Genesis,Gen 9:8–17,covenant,Isaiah,Isa 54:9–10,echo,"Flood covenant imagery supports later restoration reassurance"
gen-xlink-0013,Genesis,Gen 9:6,image_of_god,James,Jas 3:9,doctrine,"Image-bearing becomes a moral argument about speech and dignity"
gen-xlink-0014,Genesis,Gen 10–11,nations_mission,Acts,Acts 17:26–27,doctrine,"Nations origin and boundaries connect to God’s purpose for seeking Him"
gen-xlink-0015,Genesis,Gen 11:1–9,exile_scattering,Acts,Acts 2:1–11,contrast,"Scattering through language contrasts with Spirit-enabled understanding"
gen-xlink-0016,Genesis,Gen 11:4,exile_scattering,Philippians,Phil 2:9–11,contrast,"Human name-making contrasts with God exalting the rightful Name"
gen-xlink-0017,Genesis,Gen 12:1–3,abrahamic_covenant,Galatians,Gal 3:6–9,doctrine,"Blessing-to-nations promise is interpreted through Abraham’s faith"
gen-xlink-0018,Genesis,Gen 12:1–3,nations_mission,Matthew,Matt 28:18–20,echo,"Nations mission horizon aligns with disciple-making mandate"
gen-xlink-0019,Genesis,Gen 12:2,blessing,Acts,Acts 3:25–26,doctrine,"Blessing language is applied to God’s redemptive mission"
gen-xlink-0020,Genesis,Gen 13:8–9,covenant,Romans,Rom 12:18,echo,"Peace-seeking posture echoes covenant community ethics"
